topic,uid
DPL01-TP5-000,DPL01-TP5-CHDRN1
DPL02-TP5-000,DPL02-TP5-CHDRN1
DPL03-TP7-000,DPL03-TP7-CHDRN1
DPL03-TP6-000,DPL03-TP6-CHDRN1
DPL04-TP5-000,DPL04-TP5-CHDRN1
DPL04-TP6-000,DPL04-TP6-CHDRN1
DPL05-TP6-000,DPL05-TP6-CHDRN1
DPL05-TP7-000,DPL05-TP7-CHDRN1
DPL05-TP8-000,DPL05-TP8-CHDRN1
DPL06-TP6-000,DPL06-TP6-CHDRN1
DPL06-TP7-000,DPL06-TP7-CHDRN1
DPL06-TP8-000,DPL06-TP8-CHDRN1
DPL07-TP7-000,DPL07-TP7-CHDRN1
DPL07-TP6-000,DPL07-TP6-CHDRN2
DPL08-TP7-000,DPL08-TP7-CHDRN1
DPL08-TP6-000,DPL08-TP6-CHDRN2
DPL09-TP8-000,DPL09-TP8-CHDRN1